U10,Seed,Group,MssAlong,MssCross,MssTotal,Gamma,PrimaryMss,ShortWaveMss,PreClosureMssTotal,PreClosureGamma
3,1,Linear Elfouhaily,0.014249003127631,0.00895215416697792,0.023201157294609,0.792631879216515,0.00849260747202012,0.0147085498225888,NaN,NaN
3,1,Elfouhaily-Constrained Modified Lie,0.0140572739543089,0.0089356356899012,0.0229929096442101,0.797282391861599,0.0084715329779967,0.0145213766662134,0.0233045833194717,0.791492629595572
3,2,Linear Elfouhaily,0.0145313913014268,0.0090502292425087,0.0235816205439355,0.789180219349552,0.00852826135242518,0.0150533591915103,NaN,NaN
3,2,Elfouhaily-Constrained Modified Lie,0.0143301047047911,0.00902492618006287,0.023355030884854,0.793591755418127,0.00849387548339086,0.0148611554014631,0.023672371922132,0.787828794079647
3,3,Linear Elfouhaily,0.0134510863359843,0.00886853256871655,0.0223196189047009,0.811983496852733,0.00858628165937702,0.0137333372453238,NaN,NaN
3,3,Elfouhaily-Constrained Modified Lie,0.01327647799364,0.00884717834638805,0.0221236563400281,0.816320966430382,0.00856031749343661,0.0135633388465914,0.0224198690632551,0.810392948482602
3,4,Linear Elfouhaily,0.0139609949982766,0.00863328883922591,0.0225942838375025,0.786375455589595,0.008641434007431,0.0139528498300715,NaN,NaN
3,4,Elfouhaily-Constrained Modified Lie,0.0137834109350452,0.00861296483182211,0.0223963757668673,0.790492920477836,0.00862059084949339,0.0137757849173739,0.022701303238241,0.784752462480442
3,5,Linear Elfouhaily,0.0140148750132961,0.00908866903395808,0.0231035440472542,0.80529597770285,0.00846532306628559,0.0146382209809686,NaN,NaN
3,5,Elfouhaily-Constrained Modified Lie,0.0138215617197189,0.00906579969916876,0.0228873614188877,0.809887136389505,0.00843324266424629,0.0144541187546414,0.0231950794001247,0.804005840088631
3,6,Linear Elfouhaily,0.013768541277383,0.00895033227806363,0.0227188735554466,0.806260927617311,0.00836074709952958,0.0143581264559171,NaN,NaN
3,6,Elfouhaily-Constrained Modified Lie,0.0135923943446234,0.00892894807790404,0.0225213424225274,0.810498407446848,0.00834299133277553,0.0141783510897519,0.0228240193961241,0.804612672174113
3,7,Linear Elfouhaily,0.0137161229455026,0.00888853506786829,0.0226046580133709,0.805006543304663,0.00862576080364848,0.0139788972097224,NaN,NaN
3,7,Elfouhaily-Constrained Modified Lie,0.0135391106914551,0.00887074278449518,0.0224098534759502,0.809440487959078,0.00860496290439949,0.0138048905715507,0.0227112386433132,0.803562435161703
3,8,Linear Elfouhaily,0.0143727598478817,0.00893953002960975,0.0233122898774914,0.788655359934211,0.00867666597050159,0.0146356239069899,NaN,NaN
3,8,Elfouhaily-Constrained Modified Lie,0.0141804562840151,0.0089175591528085,0.0230980154368236,0.79300859921129,0.00864843884133035,0.0144495765954933,0.02341198296931,0.78724987267824
3,9,Linear Elfouhaily,0.0139063549520862,0.00861868142501542,0.0225250363771016,0.787251975050184,0.0086745316765054,0.0138505047005963,NaN,NaN
3,9,Elfouhaily-Constrained Modified Lie,0.0136982238044391,0.00859709656426729,0.0222953203687064,0.792216299651558,0.00862094176292236,0.013674378605784,0.0225985327946266,0.786463326696086
3,10,Linear Elfouhaily,0.0139307994687016,0.0089801414150289,0.0229109408837305,0.802885412859721,0.00867342576590536,0.0142375151178252,NaN,NaN
3,10,Elfouhaily-Constrained Modified Lie,0.0137489585150392,0.00895478675537585,0.022703745270415,0.807035656815236,0.00864481323205733,0.0140589320383577,0.0230095592122934,0.80117506759257
3,11,Linear Elfouhaily,0.0139069377534755,0.00916709581141771,0.0230740335648932,0.811895491675444,0.00854996007555378,0.0145240734893394,NaN,NaN
3,11,Elfouhaily-Constrained Modified Lie,0.0137359980088715,0.00914770733097739,0.0228837053398489,0.816067384948351,0.00854026519063821,0.0143434401492107,0.0231901446573296,0.810141208476705
3,12,Linear Elfouhaily,0.0137379442729615,0.00869527911090321,0.0224332233838647,0.795574561927794,0.00842483513156711,0.0140083882522976,NaN,NaN
3,12,Elfouhaily-Constrained Modified Lie,0.0135483006416695,0.00867023193910222,0.0222185325807718,0.79996860838237,0.00838724284838973,0.013831289732382,0.0225191852081715,0.794159339157193
3,13,Linear Elfouhaily,0.0139607922434306,0.00905146085292635,0.0230122530963569,0.80520100192903,0.00837852473777791,0.014633728358579,NaN,NaN
3,13,Elfouhaily-Constrained Modified Lie,0.0137739551050806,0.00902616188597462,0.0228001169910552,0.809510017935493,0.00834992607747204,0.0144501909135832,0.0231067369092844,0.803631460220366
3,14,Linear Elfouhaily,0.013921931553494,0.00889845256581485,0.0228203841193088,0.799479804773576,0.00830790741093546,0.0145124767083734,NaN,NaN
3,14,Elfouhaily-Constrained Modified Lie,0.0137210997617088,0.0088774307480591,0.0225985305097679,0.80435762954283,0.00826896307970114,0.0143295674300667,0.022903456133947,0.798516487810045
3,15,Linear Elfouhaily,0.0140075285207241,0.0090377595894306,0.0230452881101547,0.803247966203342,0.00836003531070701,0.0146852527994477,NaN,NaN
3,15,Elfouhaily-Constrained Modified Lie,0.0138064631352944,0.0090141081533076,0.022820571288602,0.808016377447917,0.00832021024312724,0.0145003610454748,0.0231277635127188,0.802148666358054
3,16,Linear Elfouhaily,0.0139573943877787,0.00872979325391735,0.0226871876416961,0.790860352685115,0.00856164273632837,0.0141255449053677,NaN,NaN
3,16,Elfouhaily-Constrained Modified Lie,0.0137689794047644,0.00871330576375822,0.0224822851685226,0.795500765737268,0.00853669416636198,0.0139455910021606,0.0227873895754748,0.789723941411189
3,17,Linear Elfouhaily,0.014485496400538,0.00921164625213372,0.0236971426526718,0.797447194685529,0.00838668464080168,0.0153104580118701,NaN,NaN
3,17,Elfouhaily-Constrained Modified Lie,0.0142789003886596,0.00918858059397814,0.0234674809826377,0.802189240257815,0.00835114956497695,0.0151163314176607,0.0237845769774178,0.796363845089345
3,18,Linear Elfouhaily,0.0138641574964979,0.00877121772767604,0.0226353752241739,0.795395636531352,0.00847671680787469,0.0141586584162992,NaN,NaN
3,18,Elfouhaily-Constrained Modified Lie,0.0136802307668306,0.00875181013459308,0.0224320409014237,0.799838365592832,0.00845237044425104,0.0139796704571727,0.0227356082789385,0.794030042174053
3,19,Linear Elfouhaily,0.0137918538809738,0.00911961479382199,0.0229114686747958,0.813161715747042,0.00857782551076616,0.0143336431640296,NaN,NaN
3,19,Elfouhaily-Constrained Modified Lie,0.0135933441955066,0.00908817216906349,0.0226815163645701,0.817664449845876,0.00852563683317309,0.0141558795313971,0.0229849341162806,0.811726675694193
3,20,Linear Elfouhaily,0.0144065653530994,0.00911175827896651,0.0235183236320659,0.795281478507614,0.00870721326196965,0.0148111103700963,NaN,NaN
3,20,Elfouhaily-Constrained Modified Lie,0.0142084797116382,0.00908982904407289,0.0232983087557111,0.799841717436573,0.00867440381586301,0.0146239049398481,0.0236135984410217,0.794033369677136
4,1,Linear Elfouhaily,0.0170492545238631,0.0112541402501133,0.0283033947739764,0.81246276109507,0.00869672967794457,0.0196066650960318,NaN,NaN
4,1,Elfouhaily-Constrained Modified Lie,0.016783204838927,0.0111895260184231,0.0279727308573502,0.816522953187534,0.00865897586253967,0.0193137549948105,0.0284112287577096,0.811397372048773
4,2,Linear Elfouhaily,0.0174497674779784,0.0113382164903125,0.0287879839682909,0.806078894890965,0.00873292310415036,0.0200550608641405,NaN,NaN
4,2,Elfouhaily-Constrained Modified Lie,0.0171711749993224,0.0112643320959965,0.0284355070953189,0.809939753923907,0.00868137358278694,0.019754133512532,0.0288826687064761,0.80485549767607
4,3,Linear Elfouhaily,0.0163354008484572,0.0110799321514796,0.0274153329999368,0.8235759435943,0.00879191195735911,0.0186234210425777,NaN,NaN
4,3,Elfouhaily-Constrained Modified Lie,0.0160859913566056,0.0110113366089313,0.0270973279655369,0.827363016732415,0.0087490226062219,0.018348305359315,0.0275199059523303,0.822169388975941
4,4,Linear Elfouhaily,0.0168526290871173,0.010881840521338,0.0277344696084553,0.803558218399078,0.0088491338303285,0.0188853357781268,NaN,NaN
4,4,Elfouhaily-Constrained Modified Lie,0.0165996182728242,0.0108147716173923,0.0274143898902165,0.807159989045858,0.00881154532808728,0.0186028445621292,0.02784606960414,0.802093182289641
4,5,Linear Elfouhaily,0.0168861841514319,0.0114199226994235,0.0283061068508554,0.822367278232425,0.00866878027705527,0.0196373265738001,NaN,NaN
4,5,Elfouhaily-Constrained Modified Lie,0.0166172457471288,0.0113480770381352,0.027965322785264,0.826383460375168,0.00861967431463943,0.0193456484706246,0.0284016411478639,0.821195981613734
4,6,Linear Elfouhaily,0.0166918942412398,0.0112471600411609,0.0279390542824007,0.820859115452462,0.00856173424699809,0.0193773200354026,NaN,NaN
4,6,Elfouhaily-Constrained Modified Lie,0.0164397552972893,0.0111775532330304,0.0276173085303197,0.824566523620644,0.00852761695582894,0.0190896915744908,0.0280485714863178,0.819390450364374
4,7,Linear Elfouhaily,0.016579924090163,0.0111807180877073,0.0277606421778703,0.821189863050673,0.00883246976811217,0.0189281724097581,NaN,NaN
4,7,Elfouhaily-Constrained Modified Lie,0.0163282353119534,0.0111150838545078,0.0274433191664612,0.825062306346068,0.00879490874385233,0.0186484104226089,0.0278717636049385,0.819883120899778
4,8,Linear Elfouhaily,0.017116799530177,0.0111569476405233,0.0282737471707004,0.807349192663071,0.00888429201424444,0.0193894551564559,NaN,NaN
