group,pairIndex,randomSeed,amplitudeCurl,curlMultiplier,pivotDepth,forwardGain,verticalAngleRatio,propagationDirectionDeg,frontFaceAngleDeg,epsilonFront,epsilonRear,asymmetry,angleInReference,frontSteeper,valid,errorMessage
G0 No-breaking,79,755445638,0.202686851521757,0,0.957384104597033,1.08854493482041,1.63676869912204,0,2.87267846899895,0.056485712084338,0.0285483028885522,1.97860140075047,0,1,1,
G0 No-breaking,80,1432013133,0.228435290615549,0,0.861389556559016,1.05182464220183,1.56021593640628,180,3.85471923899923,0.075836334775815,0.0362912745516972,2.08965751995801,0,1,1,
G0 No-breaking,81,1391544612,0.200327815684885,0,0.863109736933326,1.06102160338247,1.59845713112723,180,7.01602724387391,0.0578965689183203,0.0283769276439236,2.04026911034246,0,1,1,
G0 No-breaking,82,82183473,0.205815442985798,0,0.956614902482431,1.07781888225479,1.58134055228483,180,1.1778695183031,0.0684550798904901,0.0371185563371731,1.84422797235609,0,1,1,
G0 No-breaking,83,620232074,0.192459340945961,0,0.867371247178635,1.08080385455267,1.54375503623379,0,1.3657387734778,0.0764387685467921,0.0407335873220586,1.87655381153719,0,1,1,
G0 No-breaking,84,1069932597,0.213941304842437,0,0.921600749410874,1.08266142851297,1.56980253109563,180,5.99667512615223,0.0555717374170714,0.0230362367609353,2.41236179302123,0,1,1,
G0 No-breaking,85,90215643,0.210292152214545,0,0.850604680657576,1.09052620095622,1.62762764513768,0,7.82496356162999,0.102893166808935,0.0390876699154058,2.63236890384151,0,1,1,
G0 No-breaking,86,519249537,0.209127848612402,0,0.96969656543459,1.06802810647249,1.60197365732855,0,2.40315304130139,0.0471481773408908,0.0217432197974604,2.16840825692236,0,1,1,
G0 No-breaking,87,156289261,0.204050286208636,0,0.917540864153428,1.08290282215077,1.58555359187714,0,5.77353138418576,0.0458735653498529,0.02226287863315,2.06054060239748,0,1,1,
G0 No-breaking,88,1060693286,0.196171560231066,0,0.880903289838554,1.02288221023635,1.61599814319038,180,4.32362593576715,0.0617651097347944,0.0345780325251542,1.78625286704391,0,1,1,
