U10,Seed,Group,MssAlong,MssCross,MssTotal,Gamma,PrimaryMssLinear,PrimaryMssModified,ShortWaveMss,DeltaPrimaryMss,DeltaTotalMss,RelativeDeltaPrimaryMss,RelativeDeltaTotalMss,ElevationSkewness,ElevationExcessKurtosis,AlongSlopeSkewness,AlongSlopeExcessKurtosis,CrossSlopeSkewness,CrossSlopeExcessKurtosis,MssNumericalRelativeError,HermitianResidual,RieszEnergyRatio,LiePreProjectionHermitianResidual,DragCoefficient,RawShortWaveCoefficient,WindFactorMode,DimensionalStatus
1,10,Linear Elfouhaily,0.0116119467419621,0.00694471089226411,0.0185566576342262,0.773347289593101,0.00853838086036476,0.00859108651371367,0.0100182767738615,5.27056533489098e-05,5.27056533489098e-05,0.00617279250139449,0.00284025573935785,0.0368413358763486,-0.0759527299868576,-0.072116958015909,0.0697664378378922,0.0243832590488184,-0.00047194633200176,4.06335464380468e-16,2.82325893767359e-16,0.999999999999997,0,0.000865,-0.0105671455545726,direction_only,consistent
1,10,Modified Lie Nonlinear,0.0116575590697833,0.00695180421779181,0.0186093632875752,0.772226949894949,0.00853838086036476,0.00859108651371367,0.0100182767738615,5.27056533489098e-05,5.27056533489098e-05,0.00617279250139449,0.00284025573935785,0.0700608471331915,-0.0617629720183031,0.00182268149369876,0.0524055323281374,0.0298380193936148,-0.0114627631609183,1.61537051054739e-15,2.82019641193274e-16,0.999999999999997,0,0.000865,-0.0105671455545726,direction_only,consistent
1,11,Linear Elfouhaily,0.011502436304781,0.00703623844714244,0.0185386747519234,0.782123537308424,0.00841652844464223,0.00848860712575194,0.0101221463072812,7.207868110971e-05,7.20786811097135e-05,0.00856394433688318,0.00388801691999236,0.0557700133315045,0.062481973055688,0.0397490284053775,-0.0241691342430581,0.0320775999405278,0.08152455555404,2.47330973199207e-15,2.13344346456217e-16,1.00000000000001,0,0.000865,-0.0105671455545726,direction_only,consistent
1,11,Modified Lie Nonlinear,0.0115610020253686,0.00704975140766452,0.0186107534330332,0.78088874404109,0.00841652844464223,0.00848860712575194,0.0101221463072812,7.207868110971e-05,7.20786811097135e-05,0.00856394433688318,0.00388801691999236,0.0887053760005035,0.0805544584289875,0.114923595728787,0.0334887358577807,0.0495489674889183,0.0909406416733565,4.08718050035362e-16,2.13900666399286e-16,1.00000000000001,0,0.000865,-0.0105671455545726,direction_only,consistent
1,12,Linear Elfouhaily,0.0112573756267779,0.00663521017233567,0.0178925857991136,0.767730444818678,0.00829340634953964,0.00834840271258268,0.00959917944957394,5.49963630430399e-05,5.49963630430382e-05,0.00663133587396121,0.00307369564469339,-0.0483003072512189,0.0332760077945209,0.0454042802325905,0.0522234677069107,0.0799553254211679,-0.03262197349104,2.09168995568763e-16,2.65451368209602e-16,0.999999999999999,0,0.000865,-0.0105671455545726,direction_only,consistent
1,12,Modified Lie Nonlinear,0.0113031678668053,0.00664441429535129,0.0179475821621566,0.766704943057641,0.00829340634953964,0.00834840271258268,0.00959917944957394,5.49963630430399e-05,5.49963630430382e-05,0.00663133587396121,0.00307369564469339,-0.0121507520740085,0.0445387821872565,0.122230040344897,0.0890243300951665,0.0922733049241212,-0.0257114491807071,1.45453744265782e-15,2.64721046587251e-16,0.999999999999999,0,0.000865,-0.0105671455545726,direction_only,consistent
1,13,Linear Elfouhaily,0.0115858719693386,0.006880723112019,0.0184665950813576,0.77064200706834,0.00824721447833057,0.00831719404022685,0.010219380603027,6.9979561896286e-05,6.99795618962842e-05,0.00848523608548756,0.00378952165182471,0.0451285897467458,-0.0662835914050026,-0.0139127046329763,0.0177518331322224,0.000456236953329954,-0.0252588072370998,8.41362125616967e-16,2.82445565875667e-16,1,0,0.000865,-0.0105671455545726,direction_only,consistent
1,13,Modified Lie Nonlinear,0.0116441434353561,0.00689243120789771,0.0185365746432539,0.76936503782572,0.00824721447833057,0.00831719404022685,0.010219380603027,6.9979561896286e-05,6.99795618962842e-05,0.00848523608548756,0.00378952165182471,0.0730326945648903,-0.044287859940209,0.0485120000219003,0.0332289955164597,0.0079715443886302,-0.0219161743742897,1.04285379635648e-15,2.82296517354368e-16,1,0,0.000865,-0.0105671455545726,direction_only,consistent
1,14,Linear Elfouhaily,0.011517474563933,0.00683272622322378,0.0183502007871568,0.770226362084903,0.00817777328421427,0.00822138624461071,0.0101724275029426,4.36129603964448e-05,4.36129603964448e-05,0.00533310950067934,0.00237670208093686,-0.0581341785877677,0.0913178385516429,0.0233806144126717,-0.0858327328662107,-0.0164786770890387,-0.0746539924466214,1.90913965711527e-15,3.43891169037401e-16,0.999999999999998,0,0.000865,-0.0105671455545726,direction_only,consistent
1,14,Modified Lie Nonlinear,0.0115532438370077,0.0068405699105456,0.0183938137475533,0.769474395544267,0.00817777328421427,0.00822138624461071,0.0101724275029426,4.36129603964448e-05,4.36129603964448e-05,0.00533310950067934,0.00237670208093686,-0.0256818711261966,0.101544626974608,0.0761247528902978,-0.0797584120350736,-0.0105905612087714,-0.0825593649074055,1.89901201807975e-15,3.456302127558e-16,0.999999999999998,0,0.000865,-0.0105671455545726,direction_only,consistent
