U10,Series,Kmax,MssTotal
5,cumulative,7.02008234879529,0.014837522760126
5,cumulative,7.28301035630924,0.0150302729174857
5,cumulative,7.55578598863732,0.0152222611720556
5,cumulative,7.83877807569385,0.0154134206548455
5,cumulative,8.13236926143541,0.0156036850926818
5,cumulative,8.4369565212478,0.0157929886393135
5,cumulative,8.75295169871096,0.0159812661064583
5,cumulative,9.08078206246771,0.016168453071804
5,cumulative,9.42089088394938,0.0163544858466331
5,cumulative,9.77373803673929,0.0165393019196281
5,cumulative,10.1398006183847,0.0167228399410625
5,cumulative,10.5195735954977,0.0169050396871156
5,cumulative,10.913570473018,0.0170858422783793
5,cumulative,11.3223239885414,0.0172651903013083
5,cumulative,11.7463868326539,0.0174430277561613
5,cumulative,12.1863323962452,0.0176193006363265
5,cumulative,12.6427555458109,0.0177939567337627
5,cumulative,13.1162734277936,0.0179669457319424
5,cumulative,13.6075263030494,0.0181382193983117
5,cumulative,14.1171784125675,0.0183077317074502
5,cumulative,14.6459188756152,0.0184754387601467
5,cumulative,15.1944626215212,0.0186412994770724
5,cumulative,15.7635513563574,0.0188052752179072
5,cumulative,16.3539545658272,0.0189673299891568
5,cumulative,16.966470555715,0.0191274305949381
5,cumulative,17.601927531305,0.0192855467468444
5,cumulative,18.2611847172275,0.0194416509436778
5,cumulative,18.9451335192482,0.0195957192483884
5,cumulative,19.6546987295703,0.0197477307207601
5,cumulative,20.3908397772803,0.0198976677174928
5,cumulative,21.1545520256269,0.0200455159850678
5,cumulative,21.946868117888,0.0201912647178441
5,cumulative,22.7688593736455,0.0203349064963765
5,cumulative,23.6216372373561,0.0204764378922626
5,cumulative,24.5063547811754,0.0206158589401154
5,cumulative,25.4242082640694,0.0207531733921047
5,cumulative,26.3764387493199,0.0208883887601204
5,cumulative,27.3643337826114,0.0210215163026607
5,cumulative,28.3892291329691,0.0211525710300974
5,cumulative,29.4525105989009,0.0212815720621782
5,cumulative,30.5556158821859,0.0214085421920497
5,cumulative,31.7000365318445,0.0215335080459582
5,cumulative,32.8873199609153,0.0216565000683876
5,cumulative,34.1190715387698,0.0217775524303427
5,cumulative,35.3969567617906,0.0218967030735709
5,cumulative,36.7227035053502,0.0220139938296886
5,cumulative,38.0981043601342,0.0221294700578241
5,cumulative,39.5250190559693,0.022243180702628
5,cumulative,41.0053769764316,0.0223551782154859
5,cumulative,42.541179767637,0.022465518384388
5,cumulative,44.13450404474,0.022574260391865
5,cumulative,45.787504199801,0.0226814667205266
5,cumulative,47.502415314819,0.0227872028471682
5,cumulative,49.2815561838672,0.0228915372021655
5,cumulative,51.1273324484198,0.0229945410280834
5,cumulative,53.0422398501076,0.0230962881397299
5,cumulative,55.0288676053019,0.0231968549770269
5,cumulative,57.0899019060881,0.0232963203350234
5,cumulative,59.228129552365,0.0233947651006808
5,cumulative,61.4464417199785,0.023492272126096
5,cumulative,63.7478378699864,0.0235889260333385
5,cumulative,66.1354298043395,0.0236848129195681
5,cumulative,68.6124458734627,0.023780020393946
5,cumulative,71.1822353414258,0.0238746371765949
5,cumulative,73.8482729146064,0.0239687528673847
5,cumulative,76.614163439967,0.0240624577506617
5,cumulative,79.4836467793007,0.0241558425585548
5,cumulative,82.4606028660353,0.0242489981368014
5,cumulative,85.549056951433,0.0243420154610672
5,cumulative,88.7531850472805,0.0244349851450568
5,cumulative,92.0773195724265,0.024527997231071
5,cumulative,95.5259552108045,0.0246211409421452
5,cumulative,99.1037549888589,0.0247145044130632
5,cumulative,102.815556580594,0.0248081743260024
5,cumulative,106.666378848771,0.0249022359048214
5,cumulative,110.661428631092,0.0249967723569683
5,cumulative,114.806107780563,0.0250918646736761
5,cumulative,119.10602046953,0.025187591337592
5,cumulative,123.566980767288,0.0252840280144253
5,cumulative,128.195020501499,0.0253812472015387
5,cumulative,132.996397414044,0.0254793181135255
5,cumulative,137.977603622346,0.0255783061509974
5,cumulative,143.145374397599,0.0256782726560693
5,cumulative,148.506697271775,0.0257792745868481
5,cumulative,154.068821485723,0.0258813641686562
5,cumulative,159.839267791131,0.0259845885539174
5,cumulative,165.825838619609,0.026088989610807
5,cumulative,172.036628632644,0.026194603417628
5,cumulative,178.480035666689,0.0263014599804218
5,cumulative,185.16477208818,0.0264095828884663
5,cumulative,192.099876573853,0.026518988940387
5,cumulative,199.294726332262,0.0266296878363383
