U10,K,LinearSpectrum,ModifiedSpectrum,LinearMssIntegrand,ModifiedMssIntegrand,DressingRatio
5,0.510762433184161,0.0303208904472657,0.0303898585861036,0.00791006123711096,0.00792805352538382,1.00235636959614
5,0.569397926528648,0.0214347386462628,0.0215053696037858,0.00694944232834717,0.00697234187352017,1.00349470011393
5,0.6347647706076,0.015806588825197,0.0158448482112689,0.00636889057232167,0.00638430628572769,1.00235233042339
5,0.707635724037444,0.0134346618102231,0.0135455839709557,0.00672738430348135,0.00678292838888981,1.00844648474814
5,0.788872258072355,0.00971312463182738,0.00981663471123057,0.0060446662772181,0.00610908261182071,1.01072643992895
5,0.879434740809165,0.00691289965775528,0.00696370252235362,0.00534647436284355,0.00538576557587734,1.0074098587226
5,0.980393790538325,0.00523561637934663,0.00530310314117426,0.00503232778555399,0.00509719417034909,1.01276351864045
5,1.09294293245879,0.00365662573373063,0.00370415709845387,0.00436792812532162,0.0044247054932908,1.01282474959894
5,1.21841270838294,0.0026805040941021,0.00273557827532771,0.0039792874774829,0.00406104672573995,1.02012720341755
5,1.35828640623469,0.00192054161029631,0.00195979799807157,0.00354328780537733,0.0036157135624354,1.02057275788793
5,1.51421759529292,0.00138285267252071,0.001402634067855,0.00317068056197575,0.00321603643170904,1.01421765163116
5,1.68804967447971,0.00101808950258044,0.00102940178818869,0.00290105795282472,0.00293329244305887,1.01110738301492
5,1.88183766479071,0.00073869815634991,0.000740746608495933,0.00261596138166484,0.00262321559187251,1.00279595144432
5,2.09787250349518,0.000539835245324464,0.000540329301091756,0.00237585218539556,0.00237802655893748,1.00092086171257
10,0.00843792387338752,5.07163691582274e-36,3.12082442174339e-06,3.61093241664194e-40,2.22198202634798e-10,NaN
10,0.0116903201597924,3.87261870547693e-17,7.25255198242554e-06,5.29245957326479e-21,9.91159757496999e-10,NaN
10,0.0130323681362873,6.29232124672735e-13,1.47580442657877e-05,1.06870432164189e-16,2.50654489295706e-09,NaN
10,0.0161963520279524,5.82049313151385e-08,6.75393998927637e-06,1.52684234581348e-11,1.77170582349404e-09,NaN
10,0.0180556921630903,6.91994629209195e-06,3.36138940827192e-05,2.25595798565017e-09,1.09583990371961e-08,NaN
10,0.0201284844220254,0.000230266714773507,0.000233556101097466,9.3293914639512e-08,9.46266288671228e-08,NaN
10,0.022439233094367,0.000891003839447111,0.000830394009808857,4.486375242755e-07,4.1811931244317e-07,NaN
10,0.0250152555605411,0.0197661478839309,0.0196218346779719,1.23689242109599e-05,1.22786183447066e-05,0.991845893625833
10,0.0278870052344289,0.163881686441627,0.163605431997294,0.000127448339308137,0.000127233500353759,0.998115943894086
10,0.0310884315797989,0.163330703900342,0.163119314988743,0.000157857586432788,0.000157653281041415,0.998317443852379
10,0.0346573814566011,0.801035737147133,0.799136154278081,0.000962151330737795,0.000959869676998084,0.999036941812604
10,0.0386360465417899,1.3159656989993,1.31408068493033,0.00196440002295507,0.00196158617933956,0.998449005939105
10,0.0430714621140263,1.55132631919374,1.55372002672338,0.00287794433756984,0.00288238502612485,1.00170842226922
10,0.0480160630988323,2.23545265098392,2.23895237258054,0.00515393068116477,0.00516199943739829,1.00144502088443
10,0.0535283039476907,3.38159486563031,3.37985802640454,0.00968921384899963,0.00968423731947776,0.999225242970372
10,0.0596733496792252,4.47941346854869,4.4837121122024,0.0159507822205616,0.0159660892979827,1.00088578112916
10,0.0665238462518615,5.15425657069286,5.15237958279959,0.0228097610408278,0.0228014545770857,0.999768155686571
